anio,Equipment,n_hombres,total_medio_m,total_p50_m,peso_medio_m,dots_medio_m,fuerza_rel_media_m,fuerza_rel_p50_m
2011,Raw,6252,519.4308,520.0,89.3427,342.3938,5.8728,5.8966
2011,Single-ply,35756,486.1904,467.2,84.6242,333.5069,5.8602,5.7134
2011,Wraps,2696,552.0803,552.5,93.7429,354.8055,5.9437,5.9833
2012,Multi-ply,2348,703.2595,710.0,96.845,444.4755,7.3232,7.35
2012,Raw,9447,520.3777,522.5,89.7706,341.9591,5.8467,5.858
2012,Single-ply,36094,487.5376,469.47,85.111,333.4344,5.847,5.7257
2012,Wraps,3675,553.6986,553.38,93.1833,356.9481,5.9975,6.0197
2013,Multi-ply,2108,704.1388,710.0,97.5465,443.9571,7.2941,7.2853
2013,Raw,14068,519.2302,520.0,89.1162,342.7541,5.8861,5.9034
2013,Single-ply,35321,491.1353,471.74,85.5146,335.3603,5.8721,5.7363
2013,Wraps,6031,564.4007,565.0,94.6764,361.0975,6.023,6.0479
2014,Multi-ply,1654,721.6397,725.625,98.1147,453.9211,7.4382,7.4892
2014,Raw,22204,521.8755,522.5,89.1457,344.7302,5.9249,5.9409
2014,Single-ply,35694,495.7925,478.54,85.8419,337.788,5.9049,5.7901
2014,Unlimited,24,644.1667,607.5,96.5042,405.4583,6.6591,6.5822
2014,Wraps,8782,576.6478,572.5,94.8365,368.8358,6.1541,6.1533
2015,Multi-ply,1433,724.8696,730.0,99.1689,453.5466,7.3957,7.3661
2015,Raw,30390,528.639,530.0,89.0265,349.4529,6.0174,6.0325
2015,Single-ply,36679,490.8888,474.0,85.8482,334.6022,5.849,5.7226
2015,Wraps,12160,586.1027,585.0,95.0911,374.4141,6.2417,6.2366
2016,Multi-ply,1049,761.6954,770.0,100.9724,472.973,7.6452,7.5897
2016,Raw,38265,529.6483,530.0,88.9543,350.3933,6.0381,6.0616
2016,Single-ply,37249,490.3948,474.0,86.1963,333.6585,5.8223,5.6963
2016,Wraps,14440,587.6267,585.13,95.4399,374.5804,6.2316,6.25
2017,Multi-ply,1036,744.4878,745.0,101.7621,460.8014,7.4062,7.3794
2017,Raw,45178,532.1611,532.5,88.925,352.1014,6.0685,6.0936
2017,Single-ply,35442,492.1877,476.27,86.5258,334.3956,5.8282,5.7059
2017,Unlimited,15,682.8333,615.0,102.5867,421.6807,6.7625,6.243
2017,Wraps,15026,595.7742,592.5,96.0381,378.8447,6.282,6.3001
2018,Multi-ply,1010,748.8083,752.73,102.1471,462.2011,7.4114,7.3936
2018,Raw,53170,533.3803,535.0,89.052,352.5642,6.0721,6.0968
2018,Single-ply,32558,485.4607,471.74,86.3272,331.029,5.7783,5.665
2018,Unlimited,24,677.0,671.5,92.0646,439.2962,7.4625,7.2021
2018,Wraps,15614,596.7681,596.47,96.1372,378.9811,6.2784,6.2905
2019,Multi-ply,979,753.5643,765.0,103.5947,462.3152,7.3483,7.3812
2019,Raw,58296,536.1016,537.5,89.1387,354.2459,6.0997,6.1256
2019,Single-ply,32666,482.0674,467.2,86.61,328.2112,5.7229,5.6062
2019,Unlimited,18,707.9128,698.75,100.3739,438.5317,7.0974,6.4546
2019,Wraps,16396,595.7,597.5,96.3596,377.7371,6.2458,6.2571
2020,Multi-ply,507,789.9797,805.0,107.8413,477.0834,7.4278,7.4518
2020,Raw,24860,539.0964,542.5,90.0859,354.2336,6.067,6.0891
2020,Single-ply,29270,460.7887,453.59,86.2883,315.0551,5.5097,5.4213
2020,Unlimited,90,745.315,735.955,104.988,453.3781,7.1158,6.9408
2020,Wraps,7084,605.0918,607.5,97.888,381.2632,6.2558,6.2631
2021,Multi-ply,663,777.1939,780.0,106.144,473.2343,7.4492,7.4191
2021,Raw,46202,548.4173,550.0,90.2236,360.343,6.1742,6.2112
2021,Single-ply,23615,474.4639,460.4,87.5849,321.7841,5.5895,5.4687
2021,Straps,1,765.0,765.0,107.9,456.43,7.0899,7.0899
2021,Unlimited,125,807.3731,796.05,107.1001,487.274,7.592,7.2781
